word_count	path	year_folder
462	JAN, 21 2007-Nglinggihang Ida Betari Sri Ring Jaman Magic Jar.txt	2007
689	JAN, 21 2007-Ngyasayang Natah Bali Antuk Mamacul.txt	2007
220	JAN, 21 2007-Sarkopagus Nyihnayang Kramané Masikian.txt	2007
580	JAN, 28 2007-Inang Liang Mlajahé.txt	2007
467	JAN, 28 2007-Ngantén Suksés.txt	2007
509	JAN, 28 2007-SATUA.txt	2007
472	JAN, 7 2007-Bedak Cupak.txt	2007
294	JAN, 7 2007-Danda Adat Kasepékang.txt	2007
272	JAN, 7 2007-Ngadol Sampi Makarya Aungan.txt	2007
629	JAN, 7 2007-Ombak lan Angin ring Angga Sarira.txt	2007
496	JAN, 7 2007-Tonya.txt	2007
554	JAN, 7 2007-Toya Baya, Toya Bayu.txt	2007
676	JUN, 10 2007-Nyebun.txt	2007
374	JUN, 10 2007-Sekaa Shanti Gita Swara Aéro Catering Service.txt	2007
566	JUN, 10 2007-Tuara Arja.txt	2007
467	JUN, 17 2007-70 Persén Pisang Sané Kabuatang ring Bali Kanggé Upakara.txt	2007
566	JUN, 17 2007-Bungut Linggah.txt	2007
243	JUN, 17 2007-Nalangin Anak Istri.txt	2007
343	JUN, 17 2007-Nglanglang Buana antuk Tari Kontémporér.txt	2007
545	JUN, 17 2007-Padunung Ngadut Patundung.txt	2007
538	JUN, 17 2007-Pisang Piseng.txt	2007
243	JUN, 17 2007-Sutresna ring Pisang Bali.txt	2007
529	JUN, 24 2007-Guling Galungan.txt	2007
581	JUN, 24 2007-Senggak Penjor.txt	2007
261	JUN, 24 2007-Ten Wénten Target Menang.txt	2007
1189	JUN, 3 2007-I BASUR.txt	2007
621	JUN, 3 2007-Lén Pidan Lén Jani.txt	2007
561	JUN, 3 2007-Suksés Mréngés.txt	2007
1030	MAR, 11 2007-DÉDÉS.txt	2007
264	MAR, 11 2007-Mahasisya tur Mahaguru.txt	2007
484	MAR, 11 2007-MRATAIN BATU MAKOCOK.txt	2007
398	MAR, 11 2007-Tali Timbang.txt	2007
773	MAR, 11 2007-Ubuan Tunu, Manusa Tuna.txt	2007
465	MAR, 18 2007-MANGSA.txt	2007
652	MAR, 18 2007-Pengeng Sipeng.txt	2007
1072	MAR, 18 2007-Profésor Wau Makebior.txt	2007
649	MAR, 4 2007-Dot Mati.txt	2007
555	MEI, 20 2007-Dueg mueg.txt	2007
379	MEI, 20 2007-Dueg Ngapung.txt	2007
644	MEI, 20 2007-SMS.txt	2007
